Pennycress_Protein,PennycressGeneID,Domain1,Domain2,GO Terms,ArabidopsisGeneID,Arabidopsis_Protein_Name,Entrez_geneID
CAH2076918.1,TAV2_LOCUS25674,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT3G24000,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","821984	"
CAH2068728.1,TAV2_LOCUS18360,DYW family of nucleic acid deaminases,DYW domain,GO:0008270,AT5G06540,"Pentatricopeptide	repeat	(PPR)	superfamily	protein	","830542	"
CAH2047415.1,TAV2_LOCUS7460,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT1G34160,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","840315	"
CAH2068771.1,TAV2_LOCUS18373,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT5G09950,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","830856	"
CAH2075748.1,TAV2_LOCUS22440,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT1G16480,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","838218	"
CAH2079403.1,TAV2_LOCUS25516,DYW family of nucleic acid deaminases,DYW domain,GO:0008270,AT5G13270,"Pentatricopeptide	repeat	(PPR)	superfamily	protein	","831168	"
CAH2080076.1,TAV2_LOCUS24081,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT3G46790,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","823832	"
CAH2038283.1,TAV2_LOCUS1751,TPR-like,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT1G11290,"Pentatricopeptide	repeat	(PPR)	superfamily	protein	","837671	"
CAH2045322.1,TAV2_LOCUS7622,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT5G40410,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","834039	"
CAH2077434.1,TAV2_LOCUS25324,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT2G33760,"Pentatricopeptide	repeat	(PPR)	superfamily	protein	","817942	"
CAH2078612.1,TAV2_LOCUS24714,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT4G18750,"Pentatricopeptide	repeat	(PPR)	superfamily	protein	","827609	"
CAH2052942.1,TAV2_LOCUS10243,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT3G11460,"Pentatricopeptide	repeat	(PPR)	superfamily	protein	","820319	"
CAH2058419.1,TAV2_LOCUS12945,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT4G02750,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","828187	"
CAH2070773.1,TAV2_LOCUS20827,DYW family of nucleic acid deaminases,DYW domain,GO:0008270,AT5G50390,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","835107	"
CAH2079190.1,TAV2_LOCUS25847,F-box associated,"F-box associated domain, type 1",-,AT2G04920,"F-box	and	associated	interaction	domains-containing	protein	","815039	"
CAH2053519.1,TAV2_LOCUS11346,F-box associated,"F-box associated domain, type 1",-,AT3G19565,"F-box/associated	interaction	domain	protein	","28719289	"
CAH2053792.1,TAV2_LOCUS9377,F-box associated,"F-box associated domain, type 1",-,AT2G33655,"F-box	and	associated	interaction	domains-containing	protein	","817931	"
CAH2044990.1,TAV2_LOCUS5581,#N/A,#N/A,#N/A,AT2G33655,"F-box	and	associated	interaction	domains-containing	protein	","817931	"
CAH2075990.1,TAV2_LOCUS23608,F-box domain,F-box-like domain superfamily,GO:0005515,AT4G39590,"Galactose	oxidase/kelch	repeat	superfamily	protein	","830113	"
CAH2054321.1,TAV2_LOCUS9221,Kelch motif,Kelch-type beta propeller,GO:0005515,AT4G39560,"Galactose	oxidase/kelch	repeat	superfamily	protein	","830110	"
CAH2070400.1,TAV2_LOCUS21516,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT3G26855,"RNA-directed	DNA	polymerase	(reverse	transcriptase)-related	family	protein	","822301	"
CAH2065442.1,TAV2_LOCUS16492,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT3G26855,"RNA-directed	DNA	polymerase	(reverse	transcriptase)-related	family	protein	","822301	"
CAH2080241.1,TAV2_LOCUS22737,zinc-binding in reverse transcriptase,Reverse transcriptase zinc-binding domain,-,AT3G26855,"RNA-directed	DNA	polymerase	(reverse	transcriptase)-related	family	protein	","822301	"
CAH2046503.1,TAV2_LOCUS7865,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT1G10000,"Ribonuclease	H-like	superfamily	protein	","837535	"
CAH2065695.1,TAV2_LOCUS16347,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT1G10000,"Ribonuclease	H-like	superfamily	protein	","837535	"
CAH2060027.1,TAV2_LOCUS13855,zinc-binding in reverse transcriptase,Reverse transcriptase zinc-binding domain,-,AT1G10000,"Ribonuclease	H-like	superfamily	protein	","837535	"
CAH2071407.1,TAV2_LOCUS19894,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT1G10000,"Ribonuclease	H-like	superfamily	protein	","837535	"
CAH2047065.1,TAV2_LOCUS6480,#N/A,#N/A,#N/A,AT1G10000,"Ribonuclease	H-like	superfamily	protein	","837535	"
CAH2079678.1,TAV2_LOCUS25094,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT1G10000,"Ribonuclease	H-like	superfamily	protein	","837535	"
CAH2047489.1,TAV2_LOCUS6009,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT1G10000,"Ribonuclease	H-like	superfamily	protein	","837535	"
CAH2079371.1,TAV2_LOCUS24112,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT1G10000,"Ribonuclease	H-like	superfamily	protein	","837535	"
CAH2035984.1,TAV2_LOCUS1339,#N/A,#N/A,#N/A,AT1G10000,"Ribonuclease	H-like	superfamily	protein	","837535	"
CAH2051883.1,TAV2_LOCUS9326,zinc-binding in reverse transcriptase,Reverse transcriptase zinc-binding domain,-,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2069860.1,TAV2_LOCUS18685,-,Ribonuclease H superfamily,GO:0003676,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2065979.1,TAV2_LOCUS16126,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2051835.1,TAV2_LOCUS8915,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2078740.1,TAV2_LOCUS23811,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2051443.1,TAV2_LOCUS9164,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2080244.1,TAV2_LOCUS22736,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2070187.1,TAV2_LOCUS19657,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2065365.1,TAV2_LOCUS17409,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2070367.1,TAV2_LOCUS20865,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2070365.1,TAV2_LOCUS19460,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2070366.1,TAV2_LOCUS20864,BNAC02G40300D PROTEIN,-,0,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2052710.1,TAV2_LOCUS9232,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2061332.1,TAV2_LOCUS14232,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2035809.1,TAV2_LOCUS2263,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2036094.1,TAV2_LOCUS2798,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2070109.1,TAV2_LOCUS20962,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2051327.1,TAV2_LOCUS10403,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2051401.1,TAV2_LOCUS9462,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2079626.1,TAV2_LOCUS22885,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT4G09490,"Polynucleotidyl	""transferase,""	ribonuclease	H-like	superfamily	protein	","826533	"
CAH2035602.1,TAV2_LOCUS2436,-,-,0,AT3G27495,"uncharacterized	protein	","28719328	"
CAH2047976.1,TAV2_LOCUS5752,consensus disorder prediction,-,0,AT3G27495,"uncharacterized	protein	","28719328	"
CAH2051674.1,TAV2_LOCUS11418,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT3G27495,"uncharacterized	protein	","28719328	"
CAH2052040.1,TAV2_LOCUS9446,consensus disorder prediction,-,0,AT3G27495,"uncharacterized	protein	","28719328	"
CAH2080197.1,TAV2_LOCUS26059,Reverse transcriptase-like,Ribonuclease H domain,GO:0003676|GO:0004523,AT3G27495,"uncharacterized	protein	","28719328	"
CAH2070056.1,TAV2_LOCUS20900,UNCHARACTERIZED,Egg cell-secreted protein 1.2/1.3/1.4,GO:0009567,AT5G53742,"egg	cell-secreted-like	protein	(DUF1278)	","5008307	"
CAH2070040.1,TAV2_LOCUS20280,UNCHARACTERIZED,Egg cell-secreted protein 1.2/1.3/1.4,GO:0009567,AT2G27315,"egg	cell-secreted-like	protein	(DUF1278)	","2745564	"
CAH2072480.1,TAV2_LOCUS18492,NB-ARC domain,NB-ARC,GO:0043531,AT5G17970,"Disease	resistance	protein	(TIR-NBS-LRR	class)	family	","831664	"
CAH2036426.1,TAV2_LOCUS1078,Malectin-like domain,Malectin-like domain,-,AT1G51790,"Leucine-rich	repeat	protein	kinase	family	protein	","841605	"
CAH2065641.1,TAV2_LOCUS16073,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2071065.1,TAV2_LOCUS18740,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2065642.1,TAV2_LOCUS16076,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2035614.1,TAV2_LOCUS46,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2052576.1,TAV2_LOCUS8971,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2035842.1,TAV2_LOCUS4071,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2047106.1,TAV2_LOCUS6176,#N/A,#N/A,#N/A,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2079474.1,TAV2_LOCUS23401,#N/A,#N/A,#N/A,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2052580.1,TAV2_LOCUS10134,#N/A,#N/A,#N/A,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2070835.1,TAV2_LOCUS18936,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2065471.1,TAV2_LOCUS17968,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2035840.1,TAV2_LOCUS4074,#N/A,#N/A,#N/A,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2071063.1,TAV2_LOCUS18746,#N/A,#N/A,#N/A,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2053018.1,TAV2_LOCUS10417,consensus disorder prediction,-,0,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2079477.1,TAV2_LOCUS24537,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2052578.1,TAV2_LOCUS10135,consensus disorder prediction,-,0,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2053019.1,TAV2_LOCUS9023,consensus disorder prediction,-,0,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2052572.1,TAV2_LOCUS9338,"Ulp1 protease family, C-terminal catalytic domain","Ulp1 protease family, C-terminal catalytic domain",GO:0006508|GO:0008234,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2079476.1,TAV2_LOCUS24536,consensus disorder prediction,-,0,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2047110.1,TAV2_LOCUS6179,AGENET DOMAIN-CONTAINING PROTEIN-RELATED,-,0,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2065643.1,TAV2_LOCUS16075,#N/A,#N/A,#N/A,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2052574.1,TAV2_LOCUS9339,Domain of unknown function (DUF1985),Domain of unknown function DUF1985,-,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2070836.1,TAV2_LOCUS18935,consensus disorder prediction,-,0,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
CAH2047108.1,TAV2_LOCUS6178,#N/A,#N/A,#N/A,AT3G32960,"hypothetical	protein	(DUF1985)	","823060	"
